"TIME","GEO","AGE","SEX","Value"
"1996","Iceland","Total","Total","267 958"
"1997","Iceland","Total","Total","269 874"
"1998","Iceland","Total","Total","272 381"
"1999","Iceland","Total","Total","275 712"
"2000","Iceland","Total","Total","279 049"
"2001","Iceland","Total","Total","283 361"
"2002","Iceland","Total","Total","286 575"
"2003","Iceland","Total","Total","288 471"
"2004","Iceland","Total","Total","290 570"
"2005","Iceland","Total","Total","293 577"
"2006","Iceland","Total","Total","299 891"
"2007","Iceland","Total","Total","307 672"
"2008","Iceland","Total","Total","315 459"
"2009","Iceland","Total","Total","319 368"
"2010","Iceland","Total","Total","317 630"
"2011","Iceland","Total","Total","318 452"
"2012","Iceland","Total","Total","319 575"
"2013","Iceland","Total","Total","321 857"
"1995","Liechtenstein","Total","Total","30 629"
"1996","Liechtenstein","Total","Total","30 923"
"1997","Liechtenstein","Total","Total","31 143"
"1998","Liechtenstein","Total","Total","31 320"
"1999","Liechtenstein","Total","Total","32 015"
"2000","Liechtenstein","Total","Total","32 426"
"2001","Liechtenstein","Total","Total","32 863"
"2002","Liechtenstein","Total","Total","33 525"
"2003","Liechtenstein","Total","Total","33 863"
"2004","Liechtenstein","Total","Total","34 294"
"2005","Liechtenstein","Total","Total","34 600"
"2006","Liechtenstein","Total","Total","34 905"
"2007","Liechtenstein","Total","Total","35 168"
"2008","Liechtenstein","Total","Total","35 356"
"2009","Liechtenstein","Total","Total","35 589"
"2010","Liechtenstein","Total","Total","35 894"
"2011","Liechtenstein","Total","Total","36 149"
"2012","Liechtenstein","Total","Total","36 475"
"2013","Liechtenstein","Total","Total","36 838"
"1995","Norway","Total","Total","4 348 410"
"1996","Norway","Total","Total","4 369 957"
"1997","Norway","Total","Total","4 392 714"
"1998","Norway","Total","Total","4 417 599"
"1999","Norway","Total","Total","4 445 329"
"2000","Norway","Total","Total","4 478 497"
"2001","Norway","Total","Total","4 503 436"
"2002","Norway","Total","Total","4 524 066"
"2003","Norway","Total","Total","4 552 252"
"2004","Norway","Total","Total","4 577 457"
"2005","Norway","Total","Total","4 606 363"
"2006","Norway","Total","Total","4 640 219"
"2007","Norway","Total","Total","4 681 134"
"2008","Norway","Total","Total","4 737 171"
"2009","Norway","Total","Total","4 799 252"
"2010","Norway","Total","Total","4 858 199"
"2011","Norway","Total","Total","4 920 305"
"2012","Norway","Total","Total","4 985 870"
"2013","Norway","Total","Total","5 051 275"
"1995","Switzerland","Total","Total","7 019 019"
"1996","Switzerland","Total","Total","7 062 354"
"1997","Switzerland","Total","Total","7 081 346"
"1998","Switzerland","Total","Total","7 096 465"
"1999","Switzerland","Total","Total","7 123 537"
"2000","Switzerland","Total","Total","7 164 444"
"2001","Switzerland","Total","Total","7 204 055"
"2002","Switzerland","Total","Total","7 255 653"
"2003","Switzerland","Total","Total","7 313 853"
"2004","Switzerland","Total","Total","7 364 148"
"2005","Switzerland","Total","Total","7 415 102"
"2006","Switzerland","Total","Total","7 459 128"
"2007","Switzerland","Total","Total","7 508 739"
"2008","Switzerland","Total","Total","7 593 494"
"2009","Switzerland","Total","Total","7 701 856"
"2010","Switzerland","Total","Total","7 785 806"
"2011","Switzerland","Total","Total","7 870 134"
"2012","Switzerland","Total","Total","7 954 662"
"2013","Switzerland","Total","Total","8 039 060"
"1995","Montenegro","Total","Total",":"
"1996","Montenegro","Total","Total",":"
"1997","Montenegro","Total","Total",":"
"1998","Montenegro","Total","Total",":"
"1999","Montenegro","Total","Total",":"
"2000","Montenegro","Total","Total","612 496"
"2001","Montenegro","Total","Total","614 791"
"2002","Montenegro","Total","Total","617 085"
"2003","Montenegro","Total","Total","619 300"
"2004","Montenegro","Total","Total","621 258"
"2005","Montenegro","Total","Total","622 978"
"2006","Montenegro","Total","Total","623 576"
"2007","Montenegro","Total","Total","624 896"
"2008","Montenegro","Total","Total","627 508"
"2009","Montenegro","Total","Total","630 142"
"2010","Montenegro","Total","Total","616 411"
"2011","Montenegro","Total","Total","619 872"
"2012","Montenegro","Total","Total","621 240"
"2013","Montenegro","Total","Total","622 777"
"1995","Former Yugoslav Republic of Macedonia, the","Total","Total","1 957 265"
"1996","Former Yugoslav Republic of Macedonia, the","Total","Total","1 971 687"
"1997","Former Yugoslav Republic of Macedonia, the","Total","Total","1 991 398"
"1998","Former Yugoslav Republic of Macedonia, the","Total","Total","2 002 340"
"1999","Former Yugoslav Republic of Macedonia, the","Total","Total","2 012 705"
"2000","Former Yugoslav Republic of Macedonia, the","Total","Total","2 021 578"
"2001","Former Yugoslav Republic of Macedonia, the","Total","Total","2 031 112"
"2002","Former Yugoslav Republic of Macedonia, the","Total","Total","2 038 651"
"2003","Former Yugoslav Republic of Macedonia, the","Total","Total","2 023 654"
"2004","Former Yugoslav Republic of Macedonia, the","Total","Total","2 029 892"
"2005","Former Yugoslav Republic of Macedonia, the","Total","Total","2 035 196"
"2006","Former Yugoslav Republic of Macedonia, the","Total","Total","2 038 514"
"2007","Former Yugoslav Republic of Macedonia, the","Total","Total","2 041 941"
"2008","Former Yugoslav Republic of Macedonia, the","Total","Total","2 045 177"
"2009","Former Yugoslav Republic of Macedonia, the","Total","Total","2 048 619"
"2010","Former Yugoslav Republic of Macedonia, the","Total","Total","2 052 722"
"2011","Former Yugoslav Republic of Macedonia, the","Total","Total","2 057 284"
"2012","Former Yugoslav Republic of Macedonia, the","Total","Total","2 059 794"
"2013","Former Yugoslav Republic of Macedonia, the","Total","Total","2 062 294"
"1995","Serbia","Total","Total",":"
"1996","Serbia","Total","Total",":"
"1997","Serbia","Total","Total",":"
"1998","Serbia","Total","Total",":"
"1999","Serbia","Total","Total","7 552 850"
"2000","Serbia","Total","Total","7 527 952"
"2001","Serbia","Total","Total","7 504 739"
"2002","Serbia","Total","Total","7 502 126"
"2003","Serbia","Total","Total","7 490 918"
"2004","Serbia","Total","Total","7 470 263"
"2005","Serbia","Total","Total","7 456 050"
"2006","Serbia","Total","Total","7 425 487"
"2007","Serbia","Total","Total","7 397 651"
"2008","Serbia","Total","Total","7 365 507"
"2009","Serbia","Total","Total","7 334 937"
"2010","Serbia","Total","Total","7 306 677"
"2011","Serbia","Total","Total","7 251 549"
"2012","Serbia","Total","Total","7 216 649"
"2013","Serbia","Total","Total","7 181 505"
"1995","Turkey","Total","Total","61 203 584"
"1996","Turkey","Total","Total","62 337 617"
"1997","Turkey","Total","Total","63 484 661"
"1998","Turkey","Total","Total","64 641 675"
"1999","Turkey","Total","Total","65 786 563"
"2000","Turkey","Total","Total","66 889 425"
"2001","Turkey","Total","Total","67 895 581"
"2002","Turkey","Total","Total","68 838 069"
"2003","Turkey","Total","Total","69 770 026"
"2004","Turkey","Total","Total","70 692 009"
"2005","Turkey","Total","Total","71 610 009"
"2006","Turkey","Total","Total","72 519 974"
"2007","Turkey","Total","Total","69 689 256"
"2008","Turkey","Total","Total","70 586 256"
"2009","Turkey","Total","Total","71 517 100"
"2010","Turkey","Total","Total","72 561 312"
"2011","Turkey","Total","Total","73 722 988"
"2012","Turkey","Total","Total","74 724 269"
"2013","Turkey","Total","Total","75 627 384"
"1995","Albania","Total","Total","3 248 836"
"1996","Albania","Total","Total","3 283 000"
"1997","Albania","Total","Total","3 324 317"
"1998","Albania","Total","Total","3 354 341"
"1999","Albania","Total","Total","3 373 445"
"2000","Albania","Total","Total","3 058 497"
"2001","Albania","Total","Total","3 063 318"
"2002","Albania","Total","Total","3 084 148"
"2003","Albania","Total","Total","3 102 781"
"2004","Albania","Total","Total","3 119 548"
"2005","Albania","Total","Total","3 134 975"
"2006","Albania","Total","Total","3 149 143"
"2007","Albania","Total","Total","3 152 625"
"2008","Albania","Total","Total","3 170 050"
"2009","Albania","Total","Total","3 184 701"
"2010","Albania","Total","Total",":"
"2011","Albania","Total","Total","2 831 741"
"2012","Albania","Total","Total",":"
"2013","Albania","Total","Total",":"
"1995","Andorra","Total","Total","64 311"
"1996","Andorra","Total","Total","63 859"
"1997","Andorra","Total","Total","64 479"
"1998","Andorra","Total","Total","65 306"
"1999","Andorra","Total","Total","65 877"
"2000","Andorra","Total","Total","65 971"
"2001","Andorra","Total","Total","65 844"
"2002","Andorra","Total","Total","66 334"
"2003","Andorra","Total","Total","67 159"
"2004","Andorra","Total","Total","72 320"
"2005","Andorra","Total","Total","76 875"
"2006","Andorra","Total","Total","78 549"
"2007","Andorra","Total","Total","81 222"
"2008","Andorra","Total","Total","83 137"
"2009","Andorra","Total","Total","84 484"
"2010","Andorra","Total","Total","84 082"
"2011","Andorra","Total","Total","78 115"
"2012","Andorra","Total","Total","78 115"
"2013","Andorra","Total","Total","76 246"
"1995","Belarus","Total","Total",":"
"1996","Belarus","Total","Total",":"
"1997","Belarus","Total","Total",":"
"1998","Belarus","Total","Total",":"
"1999","Belarus","Total","Total",":"
"2000","Belarus","Total","Total","10 019 480"
"2001","Belarus","Total","Total","9 990 435"
"2002","Belarus","Total","Total","9 950 941"
"2003","Belarus","Total","Total","9 898 590"
"2004","Belarus","Total","Total","9 849 062"
"2005","Belarus","Total","Total","9 800 073"
"2006","Belarus","Total","Total","9 750 540"
"2007","Belarus","Total","Total","9 714 461"
"2008","Belarus","Total","Total","9 689 770"
"2009","Belarus","Total","Total","9 671 912"
"2010","Belarus","Total","Total","9 480 178"
"2011","Belarus","Total","Total","9 481 193"
"2012","Belarus","Total","Total","9 465 150"
"2013","Belarus","Total","Total","9 463 840"
"1995","Bosnia and Herzegovina","Total","Total",":"
"1996","Bosnia and Herzegovina","Total","Total",":"
"1997","Bosnia and Herzegovina","Total","Total","3 727 439"
"1998","Bosnia and Herzegovina","Total","Total","3 549 736"
"1999","Bosnia and Herzegovina","Total","Total",":"
"2000","Bosnia and Herzegovina","Total","Total","3 753 085"
"2001","Bosnia and Herzegovina","Total","Total","3 789 717"
"2002","Bosnia and Herzegovina","Total","Total","3 813 167"
"2003","Bosnia and Herzegovina","Total","Total","3 830 349"
"2004","Bosnia and Herzegovina","Total","Total","3 837 414"
"2005","Bosnia and Herzegovina","Total","Total","3 842 532"
"2006","Bosnia and Herzegovina","Total","Total","3 842 650"
"2007","Bosnia and Herzegovina","Total","Total","3 844 017"
"2008","Bosnia and Herzegovina","Total","Total","3 843 846"
"2009","Bosnia and Herzegovina","Total","Total","3 843 998"
"2010","Bosnia and Herzegovina","Total","Total","3 844 046"
"2011","Bosnia and Herzegovina","Total","Total","3 843 183"
"2012","Bosnia and Herzegovina","Total","Total","3 839 265"
"2013","Bosnia and Herzegovina","Total","Total",":"
"1995","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"1996","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"1997","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"1998","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"1999","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2000","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2001","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2002","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2003","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","1 985 000"
"2004","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","2 016 000"
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","2 041 000"
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","2 100 000"
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","2 126 708"
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","2 153 139"
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","2 180 686"
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","2 208 107"
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","1 794 180"
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total",":"
"1995","Moldova","Total","Total",":"
"1996","Moldova","Total","Total",":"
"1997","Moldova","Total","Total",":"
"1998","Moldova","Total","Total",":"
"1999","Moldova","Total","Total",":"
"2000","Moldova","Total","Total","3 644 070"
"2001","Moldova","Total","Total","3 635 112"
"2002","Moldova","Total","Total","3 627 812"
"2003","Moldova","Total","Total","3 618 312"
"2004","Moldova","Total","Total","3 607 435"
"2005","Moldova","Total","Total","3 600 436"
"2006","Moldova","Total","Total","3 589 936"
"2007","Moldova","Total","Total","3 581 110"
"2008","Moldova","Total","Total","3 572 703"
"2009","Moldova","Total","Total","3 567 512"
"2010","Moldova","Total","Total","3 563 695"
"2011","Moldova","Total","Total","3 560 430"
"2012","Moldova","Total","Total","3 559 541"
"2013","Moldova","Total","Total","3 559 497"
"1995","Monaco","Total","Total",":"
"1996","Monaco","Total","Total",":"
"1997","Monaco","Total","Total",":"
"1998","Monaco","Total","Total",":"
"1999","Monaco","Total","Total",":"
"2000","Monaco","Total","Total",":"
"2001","Monaco","Total","Total",":"
"2002","Monaco","Total","Total",":"
"2003","Monaco","Total","Total",":"
"2004","Monaco","Total","Total","32 828"
"2005","Monaco","Total","Total","33 085"
"2006","Monaco","Total","Total",":"
"2007","Monaco","Total","Total",":"
"2008","Monaco","Total","Total",":"
"2009","Monaco","Total","Total",":"
"2010","Monaco","Total","Total",":"
"2011","Monaco","Total","Total",":"
"2012","Monaco","Total","Total",":"
"2013","Monaco","Total","Total",":"
"1995","Russia","Total","Total",":"
"1996","Russia","Total","Total",":"
"1997","Russia","Total","Total",":"
"1998","Russia","Total","Total",":"
"1999","Russia","Total","Total",":"
"2000","Russia","Total","Total","146 890 128"
"2001","Russia","Total","Total","146 303 611"
"2002","Russia","Total","Total","145 649 334"
"2003","Russia","Total","Total","145 166 731"
"2004","Russia","Total","Total","144 168 205"
"2005","Russia","Total","Total","143 474 219"
"2006","Russia","Total","Total","142 753 551"
"2007","Russia","Total","Total","142 220 968"
"2008","Russia","Total","Total","142 008 838"
"2009","Russia","Total","Total","141 903 979"
"2010","Russia","Total","Total","141 914 509"
"2011","Russia","Total","Total","142 856 536"
"2012","Russia","Total","Total","143 056 383"
"2013","Russia","Total","Total",":"
"1995","San Marino","Total","Total",":"
"1996","San Marino","Total","Total",":"
"1997","San Marino","Total","Total",":"
"1998","San Marino","Total","Total",":"
"1999","San Marino","Total","Total",":"
"2000","San Marino","Total","Total",":"
"2001","San Marino","Total","Total",":"
"2002","San Marino","Total","Total",":"
"2003","San Marino","Total","Total",":"
"2004","San Marino","Total","Total","29 241"
"2005","San Marino","Total","Total","29 673"
"2006","San Marino","Total","Total","29 999"
"2007","San Marino","Total","Total","30 368"
"2008","San Marino","Total","Total","32 054"
"2009","San Marino","Total","Total","31 269"
"2010","San Marino","Total","Total",":"
"2011","San Marino","Total","Total","31 863"
"2012","San Marino","Total","Total","33 376"
"2013","San Marino","Total","Total","33 562"
"1995","Ukraine","Total","Total",":"
"1996","Ukraine","Total","Total",":"
"1997","Ukraine","Total","Total",":"
"1998","Ukraine","Total","Total",":"
"1999","Ukraine","Total","Total",":"
"2000","Ukraine","Total","Total","49 114 950"
"2001","Ukraine","Total","Total","48 663 609"
"2002","Ukraine","Total","Total","48 240 902"
"2003","Ukraine","Total","Total","47 823 108"
"2004","Ukraine","Total","Total","47 442 079"
"2005","Ukraine","Total","Total","47 100 462"
"2006","Ukraine","Total","Total","46 749 170"
"2007","Ukraine","Total","Total","46 465 691"
"2008","Ukraine","Total","Total","46 192 309"
"2009","Ukraine","Total","Total","45 963 359"
"2010","Ukraine","Total","Total","45 782 592"
"2011","Ukraine","Total","Total","45 598 179"
"2012","Ukraine","Total","Total","45 453 282"
"2013","Ukraine","Total","Total","45 372 692"
"1995","Armenia","Total","Total",":"
"1996","Armenia","Total","Total",":"
"1997","Armenia","Total","Total",":"
"1998","Armenia","Total","Total",":"
"1999","Armenia","Total","Total",":"
"2000","Armenia","Total","Total","3 226 900"
"2001","Armenia","Total","Total","3 215 300"
"2002","Armenia","Total","Total","3 212 900"
"2003","Armenia","Total","Total","3 210 300"
"2004","Armenia","Total","Total","3 212 200"
"2005","Armenia","Total","Total","3 215 800"
"2006","Armenia","Total","Total","3 219 234"
"2007","Armenia","Total","Total","3 222 953"
"2008","Armenia","Total","Total","3 230 086"
"2009","Armenia","Total","Total","3 237 976"
"2010","Armenia","Total","Total","3 249 482"
"2011","Armenia","Total","Total","3 262 650"
"2012","Armenia","Total","Total","3 274 285"
"2013","Armenia","Total","Total",":"
"1995","Azerbaijan","Total","Total",":"
"1996","Azerbaijan","Total","Total",":"
"1997","Azerbaijan","Total","Total",":"
"1998","Azerbaijan","Total","Total",":"
"1999","Azerbaijan","Total","Total",":"
"2000","Azerbaijan","Total","Total","8 016 200"
"2001","Azerbaijan","Total","Total","8 081 000"
"2002","Azerbaijan","Total","Total","8 141 400"
"2003","Azerbaijan","Total","Total","8 202 500"
"2004","Azerbaijan","Total","Total","8 265 700"
"2005","Azerbaijan","Total","Total","8 347 300"
"2006","Azerbaijan","Total","Total","8 436 400"
"2007","Azerbaijan","Total","Total","8 532 700"
"2008","Azerbaijan","Total","Total","8 629 900"
"2009","Azerbaijan","Total","Total","8 896 900"
"2010","Azerbaijan","Total","Total","8 997 586"
"2011","Azerbaijan","Total","Total","9 111 078"
"2012","Azerbaijan","Total","Total","9 235 085"
"2013","Azerbaijan","Total","Total","9 356 483"
"1995","Georgia","Total","Total",":"
"1996","Georgia","Total","Total",":"
"1997","Georgia","Total","Total",":"
"1998","Georgia","Total","Total",":"
"1999","Georgia","Total","Total",":"
"2000","Georgia","Total","Total","4 435 200"
"2001","Georgia","Total","Total","4 401 400"
"2002","Georgia","Total","Total","4 371 500"
"2003","Georgia","Total","Total","4 352 600"
"2004","Georgia","Total","Total","4 315 200"
"2005","Georgia","Total","Total","4 321 500"
"2006","Georgia","Total","Total","4 401 292"
"2007","Georgia","Total","Total","4 394 702"
"2008","Georgia","Total","Total","4 382 070"
"2009","Georgia","Total","Total","4 385 429"
"2010","Georgia","Total","Total","4 436 391"
"2011","Georgia","Total","Total","4 469 250"
"2012","Georgia","Total","Total","4 497 617"
"2013","Georgia","Total","Total",":"
